,DateTime,Open,High,Low,Close,IO
,2023-10-27 13:15:00+05:30,42907.75,43024.2,42902.8,42994.8,125745,2444955
,2023-10-27 14:15:00+05:30,42994.8,43086.65,42975.0,43005.15,250365,2390520
,2023-10-27 15:15:00+05:30,43005.15,43100.0,43005.05,43100.0,131295,2381430
,2023-10-30 09:15:00+05:30,42994.35,42994.4,42623.0,42720.3,681540,2450895
,2023-10-30 10:15:00+05:30,42720.3,43030.0,42690.0,42936.6,490650,2389170
,2023-10-30 11:15:00+05:30,42930.2,43243.8,42925.0,43200.0,688095,2463525
,2023-10-30 12:15:00+05:30,43200.0,43287.95,43141.75,43250.0,245370,2543580
,2023-10-30 13:15:00+05:30,43249.9,43260.35,43140.0,43175.65,202320,2541765
,2023-10-30 14:15:00+05:30,43175.65,43311.45,43148.55,43275.05,242280,2533395
,2023-10-30 15:15:00+05:30,43275.05,43350.0,43270.0,43335.0,178455,2517285
,2023-10-31 09:15:00+05:30,43603.05,43603.05,43202.2,43231.1,591330,2541270
,2023-10-31 10:15:00+05:30,43231.1,43273.4,43121.0,43186.7,301215,2528295
,2023-10-31 11:15:00+05:30,43194.75,43225.0,43020.4,43070.8,361380,2524395
,2023-10-31 12:15:00+05:30,43072.45,43258.0,43056.1,43202.2,202260,2516400
,2023-10-31 13:15:00+05:30,43204.05,43228.9,43127.25,43195.45,133215,2550090
,2023-10-31 14:15:00+05:30,43201.0,43348.8,43025.0,43082.45,660180,2574345
,2023-10-31 15:15:00+05:30,43085.9,43106.1,43035.2,43037.0,216660,2511135
,2023-11-01 09:15:00+05:30,42981.05,43062.4,42860.2,42960.0,647100,2464845
,2023-11-01 10:15:00+05:30,42960.0,42996.8,42875.0,42922.85,238395,2475615
,2023-11-01 11:15:00+05:30,42924.95,42999.95,42898.5,42991.1,219675,2476935
,2023-11-01 12:15:00+05:30,42991.55,43033.6,42886.3,42901.5,273615,2484600
,2023-11-01 13:15:00+05:30,42901.5,42979.9,42849.0,42914.65,272520,2466900
,2023-11-01 14:15:00+05:30,42914.65,42963.0,42892.0,42932.0,438480,2513820
